playerID,awardID,yearID,lgID,tie,notes
larusto01,BBWAA Manager of the year,1983,AL,,
lasorto01,BBWAA Manager of the year,1983,NL,,
andersp01,BBWAA Manager of the year,1984,AL,,
freyji99,BBWAA Manager of the year,1984,NL,,
coxbo01,BBWAA Manager of the year,1985,AL,,
herzowh01,BBWAA Manager of the year,1985,NL,,
mcnamjo99,BBWAA Manager of the year,1986,AL,,
lanieha01,BBWAA Manager of the year,1986,NL,,
andersp01,BBWAA Manager of the year,1987,AL,,
rodgebu01,BBWAA Manager of the year,1987,NL,,
larusto01,BBWAA Manager of the year,1988,AL,,
lasorto01,BBWAA Manager of the year,1988,NL,,
robinfr02,BBWAA Manager of the year,1989,AL,,
zimmedo01,BBWAA Manager of the year,1989,NL,,
torboje01,BBWAA Manager of the year,1990,AL,,
leylaji99,BBWAA Manager of the year,1990,NL,,
kellyto01,BBWAA Manager of the year,1991,AL,,
coxbo01,BBWAA Manager of the year,1991,NL,,
larusto01,BBWAA Manager of the year,1992,AL,,
leylaji99,BBWAA Manager of the year,1992,NL,,
lamonge01,BBWAA Manager of the year,1993,AL,,
bakerdu01,BBWAA Manager of the year,1993,NL,,
showabu99,BBWAA Manager of the year,1994,AL,,
aloufe01,BBWAA Manager of the year,1994,NL,,
pinielo01,BBWAA Manager of the year,1995,AL,,
baylodo01,BBWAA Manager of the year,1995,NL,,
oatesjo01,BBWAA Manager of the year,1996,AL,Y,
torrejo01,BBWAA Manager of the year,1996,AL,Y,
bochybr01,BBWAA Manager of the year,1996,NL,,
johnsda02,BBWAA Manager of the year,1997,AL,,
bakerdu01,BBWAA Manager of the year,1997,NL,,
torrejo01,BBWAA Manager of the year,1998,AL,,
dierkla01,BBWAA Manager of the year,1998,NL,,
williji03,BBWAA Manager of the year,1999,AL,,
mckeoja99,BBWAA Manager of the year,1999,NL,,
manueje01,BBWAA Manager of the year,2000,AL,,
bakerdu01,BBWAA Manager of the year,2000,NL,,
pinielo01,BBWAA Manager of the year,2001,AL,,
bowala01,BBWAA Manager of the year,2001,NL,,
sciosmi01,BBWAA Manager of the year,2002,AL,,
larusto01,BBWAA Manager of the year,2002,NL,,
penato01,BBWAA Manager of the year,2003,AL,,
mckeoja99,BBWAA Manager of the year,2003,NL,,
showabu99,BBWAA Manager of the year,2004,AL,,
coxbo01,BBWAA Manager of the year,2004,NL,,
guilloz01,BBWAA Manager of the year,2005,AL,,
coxbo01,BBWAA Manager of the year,2005,NL,,
leylaji99,BBWAA Manager of the year,2006,AL,,
girarjo01,BBWAA Manager of the year,2006,NL,,
wedgeer01,BBWAA Manager of the year,2007,AL,,
melvibo01,BBWAA Manager of the year,2007,NL,,
maddojo99,BBWAA Manager of the year,2008,AL,,
pinielo01,BBWAA Manager of the year,2008,NL,,
sciosmi01,BBWAA Manager of the year,2009,AL,,
tracyji01,BBWAA Manager of the year,2009,NL,,
gardero01,BBWAA Manager of the year,2010,AL,,
blackbu02,BBWAA Manager of the year,2010,NL,,
maddojo99,BBWAA Manager of the year,2011,AL,,
gibsoki01,BBWAA Manager of the year,2011,NL,,
melvibo01,BBWAA Manager of the year,2012,AL,,
johnsda02,BBWAA Manager of the year,2012,NL,,
francte01,BBWAA Manager of the year,2013,AL,,
hurdlcl01,BBWAA Manager of the year,2013,NL,,
mccarjo99,TSN Manager of the Year,1936,ML,,
mckecbi01,TSN Manager of the Year,1937,ML,,
mccarjo99,TSN Manager of the Year,1938,ML,,
durocle01,TSN Manager of the Year,1939,ML,,
mckecbi01,TSN Manager of the Year,1940,ML,,
southbi01,TSN Manager of the Year,1941,ML,,
southbi01,TSN Manager of the Year,1942,ML,,
mccarjo99,TSN Manager of the Year,1943,ML,,
sewellu01,TSN Manager of the Year,1944,ML,,
bluegos01,TSN Manager of the Year,1945,ML,,
dyered01,TSN Manager of the Year,1946,ML,,
harribu01,TSN Manager of the Year,1947,ML,,
meyerbi01,TSN Manager of the Year,1948,ML,,
stengca01,TSN Manager of the Year,1949,ML,,
rolfere01,TSN Manager of the Year,1950,ML,,
durocle01,TSN Manager of the Year,1951,ML,,
stanked01,TSN Manager of the Year,1952,ML,,
stengca01,TSN Manager of the Year,1953,ML,,
durocle01,TSN Manager of the Year,1954,ML,,
alstowa01,TSN Manager of the Year,1955,ML,,
tebbebi01,TSN Manager of the Year,1956,ML,,
hutchfr01,TSN Manager of the Year,1957,ML,,
stengca01,TSN Manager of the Year,1958,ML,,
alstowa01,TSN Manager of the Year,1959,ML,,
murtada01,TSN Manager of the Year,1960,ML,,
houkra01,TSN Manager of the Year,1961,ML,,
rignebi01,TSN Manager of the Year,1962,ML,,
alstowa01,TSN Manager of the Year,1963,ML,,
keanejo99,TSN Manager of the Year,1964,ML,,
melesa01,TSN Manager of the Year,1965,ML,,
bauerha01,TSN Manager of the Year,1966,ML,,
willidi02,TSN Manager of the Year,1967,ML,,
smithma01,TSN Manager of the Year,1968,ML,,
hodgegi01,TSN Manager of the Year,1969,ML,,
murtada01,TSN Manager of the Year,1970,ML,,
foxch01,TSN Manager of the Year,1971,ML,,
tannech01,TSN Manager of the Year,1972,ML,,
mauchge01,TSN Manager of the Year,1973,ML,,
virdobi01,TSN Manager of the Year,1974,ML,,
johnsda01,TSN Manager of the Year,1975,ML,,
ozarkda99,TSN Manager of the Year,1976,ML,,
weaveea99,TSN Manager of the Year,1977,ML,,
bambege01,TSN Manager of the Year,1978,ML,,
weaveea99,TSN Manager of the Year,1979,ML,,
virdobi01,TSN Manager of the Year,1980,ML,,
martibi02,TSN Manager of the Year,1981,ML,,
herzowh01,TSN Manager of the Year,1982,ML,,
larusto01,TSN Manager of the Year,1983,ML,,
freyji99,TSN Manager of the Year,1984,ML,,
coxbo01,TSN Manager of the Year,1985,ML,,
lanieha01,TSN Manager of the Year,1986,NL,,
mcnamjo99,TSN Manager of the Year,1986,AL,,
andersp01,TSN Manager of the Year,1987,AL,,
rodgebu01,TSN Manager of the Year,1987,NL,,
larusto01,TSN Manager of the Year,1988,AL,,
leylaji99,TSN Manager of the Year,1988,NL,,
robinfr02,TSN Manager of the Year,1989,AL,,
