playerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
wrighha01,1871,BS1,NA,1,31,20,10,3,Y
woodji01,1871,CH1,NA,1,28,19,9,2,Y
paborch01,1871,CL1,NA,1,29,10,19,8,Y
lennobi01,1871,FW1,NA,1,14,5,9,8,Y
deaneha01,1871,FW1,NA,2,5,2,3,8,Y
fergubo01,1871,NY2,NA,1,33,16,17,5,Y
mcbridi01,1871,PH1,NA,1,28,21,7,1,Y
hastisc01,1871,RC1,NA,1,25,4,21,9,Y
pikeli01,1871,TRO,NA,1,4,1,3,6,Y
cravebi01,1871,TRO,NA,2,25,12,12,6,Y
youngni99,1871,WS3,NA,1,32,15,15,4,N
cravebi01,1872,BL1,NA,1,41,27,13,2,Y
millsev01,1872,BL1,NA,2,17,8,6,2,Y
clintji01,1872,BR1,NA,1,11,0,11,9,Y
woodji01,1872,BR1,NA,2,18,3,15,9,Y
fergubo01,1872,BR2,NA,1,37,9,28,7,Y
wrighha01,1872,BS1,NA,1,48,39,8,1,Y
hastisc01,1872,CL1,NA,1,20,6,14,7,Y
whitede01,1872,CL1,NA,2,2,0,2,7,Y
clappjo01,1872,MID,NA,1,24,5,19,9,Y
pearcdi01,1872,NY2,NA,1,16,10,6,3,Y
hatfijo01,1872,NY2,NA,2,40,24,14,3,Y
mcbridi01,1872,PH1,NA,1,47,30,14,2,Y
woodji01,1872,TRO,NA,1,25,15,10,5,Y
youngni99,1872,WS3,NA,1,9,2,7,8,N
millejo01,1872,WS4,NA,1,11,0,11,11,Y
mcveyca01,1873,BL1,NA,1,33,20,13,3,Y
careyto01,1873,BL1,NA,2,24,14,9,3,Y
smithbi01,1873,BL4,NA,1,5,0,5,9,Y
fergubo01,1873,BR2,NA,1,55,17,37,6,Y
wrighha01,1873,BS1,NA,1,60,43,16,1,Y
allisdo01,1873,ELI,NA,1,23,2,21,8,N
hatfijo01,1873,NY2,NA,1,28,11,17,4,Y
startjo01,1873,NY2,NA,2,25,18,7,4,Y
mcbridi01,1873,PH1,NA,1,52,28,23,4,Y
malonfe01,1873,PH2,NA,1,10,8,2,2,Y
woodji01,1873,PH2,NA,2,43,28,15,2,Y
youngni99,1873,WS5,NA,1,39,8,31,7,N
whitewa01,1874,BL1,NA,1,47,9,38,8,Y
fergubo01,1874,BR2,NA,1,56,22,33,6,Y
wrighha01,1874,BS1,NA,1,71,52,18,1,Y
